timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759857646752,121,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-2,text,true,,2969,507,3,3,https://paa.qualitin.com/index.aspx,121,0,92
1759857646751,121,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,2969,507,3,3,null,121,2,92
1759857646654,229,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-1,text,true,,2969,507,2,2,https://paa.qualitin.com/index.aspx,229,0,193
1759857646652,229,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,2969,507,2,2,null,229,2,193
1759857646852,96,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-3,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,96,0,69
1759857646851,96,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,2969,507,1,1,null,96,2,69
1759857646952,87,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-4,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,87,0,58
1759857646952,87,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,2969,507,1,1,null,87,1,58
1759857647051,149,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-5,text,true,,2969,507,2,2,https://paa.qualitin.com/index.aspx,149,0,118
1759857647051,149,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,2969,507,2,2,null,149,1,118
1759857647152,88,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-6,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,88,0,58
1759857647151,88,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,2969,507,1,1,null,88,2,58
1759857647253,90,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-7,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,90,0,59
1759857647252,90,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-7,,true,,2969,507,1,1,null,90,2,59
1759857647352,96,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-8,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,96,0,67
1759857647351,96,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-8,,true,,2969,507,1,1,null,96,2,67
1759857647452,88,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-9,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,88,0,57
1759857647451,88,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-9,,true,,2969,507,1,1,null,88,1,57
1759857647552,98,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-10,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,98,0,67
1759857647551,98,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-10,,true,,2969,507,1,1,null,98,2,67
1759857647652,89,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-11,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,89,0,58
1759857647651,89,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-11,,true,,2969,507,1,1,null,89,2,58
1759857647751,97,https://paa.qualitin.com/index.aspx,200,OK,Thread Group 1-12,text,true,,2969,507,1,1,https://paa.qualitin.com/index.aspx,97,0,64
1759857647750,97,Teste Estresse,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-12,,true,,2969,507,1,1,null,97,1,64
